时间,0-4岁男性人口数(人口抽样调查)(人),5-9岁男性人口数(人口抽样调查)(人),10-14岁男性人口数(人口抽样调查)(人),15-19岁男性人口数(人口抽样调查)(人),20-24岁男性人口数(人口抽样调查)(人),25-29岁男性人口数(人口抽样调查)(人),30-34岁男性人口数(人口抽样调查)(人),35-39岁男性人口数(人口抽样调查)(人),40-44岁男性人口数(人口抽样调查)(人),45-49岁男性人口数(人口抽样调查)(人),50-54岁男性人口数(人口抽样调查)(人),55-59岁男性人口数(人口抽样调查)(人),60-64岁男性人口数(人口抽样调查)(人),65-69岁男性人口数(人口抽样调查)(人),70-74岁男性人口数(人口抽样调查)(人),75-79岁男性人口数(人口抽样调查)(人),80-84岁男性人口数(人口抽样调查)(人),85-89岁男性人口数(人口抽样调查)(人),90-94岁男性人口数(人口抽样调查)(人),95岁以上男性人口数(人口抽样调查)(人)
2003,4426.423444395353,4168.61595849276,3996.865679513397,3888.2321108303368,4672.578614550935,6245.034348952103,5426.701924302726,5091.090955131037,5429.2508683723845,6513.280367711392,5945.351353333694,3670.964973464216,4130.139040869822,3068.5645250016155,1916.5631838050515,1307.7296860237889,808.3794049488057,334.7613211484694,80.10967076069247,15.900555863107142
2004,4382.450126465974,4139.226114597429,3913.196141859503,3964.0618409542503,4939.226546369273,6474.630360123625,5262.092392266449,4894.569805849472,5772.182219808138,6351.525816070376,5909.376323704533,3613.613890618375,4037.017104209862,2851.10601639524,1856.1204047601982,1282.866364023388,769.6720571942257,312.0001683910195,75.22392119645706,16.0000086354369
2005,4311.434749541355,4118.492192820079,3861.4633472847836,4039.2486195140154,5218.898147125869,6495.986439342535,5121.8076775689615,4960.340673324781,6012.5206633126945,6295.420091017177,5278.637197749406,3913.855952360899,3901.7107750423806,2741.443221855459,1782.316058832105,1261.5827126767194,720.6224541098235,289.25903728284607,76.35401439013381,12.557971449365647
2006,4194.932495673255,4175.712006915676,3846.0441301242795,4207.097361975521,5704.227457795344,6058.225067191272,5082.116195097483,5080.16981648912,6336.192262198039,6137.783292808088,4801.472729504217,4109.413485568329,3744.467496500362,2502.6779443650935,1767.3117763931405,1238.2617409076113,728.3105455166391,272.97959982283913,70.67787321616291,12.894758280401492
2007,4169.758631943085,4123.161673520005,3788.709875334508,4401.405130213432,6200.072057959663,5680.814046080543,5108.145943476275,5238.447098753345,6450.211343907056,6069.040924221657,4301.398081065205,4366.731153318974,3556.2117355264018,2381.7980549572485,1672.6239801579532,1223.2005743750408,700.6576594217088,255.97911363488024,67.52300763657725,9.368056915344951
2008,4176.997669519971,4003.38751677172,3897.19878256648,4684.464239446375,6264.533341157913,5448.734176787494,5121.499506073385,5480.87974598568,6611.2720650933925,6087.552117482513,3798.956144118094,4350.607822268221,3362.4024590521053,2254.7648687026576,1684.4519050629478,1219.003326335669,653.506178306174,223.8150304847416,58.27136888360137,7.946095756854732
2009,4146.845287628721,3910.9550047196626,3965.898028220176,4949.107551547359,6499.394961967641,5291.472002053774,4930.518691348042,5831.960760001012,6447.981468884719,6051.262249947389,3743.7729139397265,4260.496167075181,3139.8702594897527,2125.2479154460016,1693.4686943605927,1171.6864476265905,626.3739981086421,218.24263082109903,52.47235220819955,8.588524016140285
2011,3796.21128494248,3975.483181772141,4553.277078007804,5059.705867709998,5040.346793867051,4316.042510382099,4448.3486067643735,6022.962979812633,6399.033035590127,5228.8973000533915,4861.647650701382,4535.292612958439,3247.2841733720406,2322.7452089553003,1862.3658138381063,1259.7144085851676,593.1436944306627,225.7794943458548,41.35281454026057,9.507710822275977
2012,3758.2803395102846,3979.368910693997,4795.886640967789,5570.936178481334,4507.750312467915,4225.360934595141,4578.065943670074,6088.161734920294,6382.045014047268,4739.656673067344,5216.202833890953,4427.8564302205905,3017.48713514651,2233.760829039109,1865.617932985496,1188.2665561326442,585.6255374320865,212.74985850909744,42.25698990514382,8.789453900269915
2013,3686.085866620007,4143.136950163156,5039.788480061645,5828.290519617847,4281.519391556935,4139.802433503065,4737.570120102058,6349.030871368736,6407.71836458634,4217.496671683188,5182.28349200287,4110.5698374496,2884.134609868104,2255.911671106946,1821.2018491864067,1119.2860922372363,550.3063994703632,195.6249773920095,36.90198437167452,8.336291650227679
2014,3650.3842718749424,4291.937571792941,5296.534432942668,6114.760115573011,4107.770665047884,3953.141000078815,5049.876421395428,6175.598016544447,6312.593507318897,4215.449341223779,5030.478829781347,3806.6671406747573,2749.498397707321,2254.9700251369622,1779.0677490596697,1085.60384885626,507.42336245017464,172.043411986256,40.33817347019199,8.266019153727866
2015,3846.747329734791,4441.76229815011,5554.0349907092805,5766.429815646819,3848.425488258816,4151.017484875278,5473.421797757016,6259.485106765276,5639.852014680999,4432.940418936655,4793.983138823412,3559.705242377647,2636.702658213942,2202.898679753389,1724.554218632236,1044.4920237332835,509.08247482038786,157.6160356854086,36.834809804868385,6.2353596534886915
2016,3536.2578413729534,4298.09531349132,5697.287010649886,5869.696307853144,4062.718240474357,4515.629787760412,6121.463675068731,6378.729052363605,5244.686671481528,4701.31729798534,4551.418721295384,3263.4320581933102,2517.2587279989466,2086.1317489515704,1669.6315514358794,945.1390534409628,455.09000410992246,139.83618088447128,36.82629392729028,6.535370471603628
2017,3537.8830771647395,4530.692481067007,6071.166882454395,5638.324946965406,4103.591698677825,4780.4326409085925,6342.948969375596,6348.997684248607,4791.812426517138,4895.665785268997,4213.083689938421,3014.207897989525,2393.34319848187,2150.2668770597015,1623.2085183792437,926.0684991170157,424.12768524821144,136.35238612040638,33.114150914955836,6.458797237282407
