total,male,female,urban,rural,time
139538,71351,68187,83137,56401,2018
139008,71137,67871,81347,57661,2017
138271,70815,67456,79298,58973,2016
137462,70414,67048,77116,60346,2015
136782,70079,66703,74916,61866,2014
136072,69728,66344,73111,62961,2013
135404,69395,66009,71182,64222,2012
134735,69068,65667,69079,65656,2011
134091,68748,65343,66978,67113,2010
133450,68647,64803,64512,68938,2009
132802,68357,64445,62403,70399,2008
132129,68048,64081,60633,71496,2007
131448,67728,63720,58288,73160,2006
130756,67375,63381,56212,74544,2005
129988,66976,63012,54283,75705,2004
129227,66556,62671,52376,76851,2003
128453,66115,62338,50212,78241,2002
127627,65672,61955,48064,79563,2001
126743,65437,61306,45906,80837,2000
125786,64692,61094,43748,82038,1999
124761,63940,60821,41608,83153,1998
123626,63131,60495,39449,84177,1997
122389,62200,60189,37304,85085,1996
121121,61808,59313,35174,85947,1995
119850,61246,58604,34169,85681,1994
118517,60472,58045,33173,85344,1993
117171,59811,57360,32175,84996,1992
115823,59466,56357,31203,84620,1991
114333,58904,55429,30195,84138,1990
112704,58099,54605,29540,83164,1989
111026,57201,53825,28661,82365,1988
109300,56290,53010,27674,81626,1987
107507,55581,51926,26366,81141,1986
105851,54725,51126,25094,80757,1985
104357,53848,50509,24017,80340,1984
103008,53152,49856,22274,80734,1983
101654,52352,49302,21480,80174,1982
100072,51519,48553,20171,79901,1981
98705,50785,47920,19140,79565,1980
97542,50192,47350,18495,79047,1979
96259,49567,46692,17245,79014,1978
94974,48908,46066,16669,78305,1977
93717,48257,45460,16341,77376,1976
92420,47564,44856,16030,76390,1975
90859,46727,44132,15595,75264,1974
89211,45876,43335,15345,73866,1973
87177,44813,42364,14935,72242,1972
85229,43819,41410,14711,70518,1971
82992,42686,40306,14424,68568,1970
80671,41289,39382,14117,66554,1969
78534,40226,38308,13838,64696,1968
76368,39115,37253,13548,62820,1967
74542,38189,36353,13313,61229,1966
72538,37128,35410,13045,59493,1965
70499,36142,34357,12950,57549,1964
69172,35533,33639,11646,57526,1963
67296,34517,32778,11659,55636,1962
65859,33880,31979,12707,53152,1961
66207,34283,31924,13073,53134,1960
67207,34890,32317,12371,54836,1959
65994,34195,31799,10721,55273,1958
64653,33469,31184,9949,54704,1957
62828,32536,30292,9185,53643,1956
61465,31809,29656,8285,53180,1955
60266,31242,29024,8249,52017,1954
58796,30468,28328,7826,50970,1953
57482,29833,27649,7163,50319,1952
56300,29231,27069,6632,49668,1951
55196,28669,26527,6169,49027,1950
54167,28145,26022,5765,48402,1949
